date,country,operator,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground
1908-09-17 17:18:00,Virginia,U.S. Army,Wright Flyer III,2.0,1.0,1.0,1.0,1.0,0.0,0.0
1909-09-07 00:00:00,France,unknown,Wright Byplane,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1912-07-12 06:30:00,New Jersey,U.S. Navy,Dirigible,5.0,0.0,5.0,5.0,0.0,5.0,0.0
1913-08-06 00:00:00,Canada,Private,Curtiss seaplane,1.0,0.0,1.0,1.0,0.0,1.0,0.0
1913-09-09 18:30:00,Over the North Sea,German Navy,Zeppelin L-1 (airship),20.0,17.0,3.0,14.0,12.0,2.0,0.0
1913-10-17 10:30:00,Germany,German Navy,Zeppelin L-2 (airship),28.0,24.0,4.0,28.0,24.0,4.0,0.0
1915-03-05 01:00:00,Belgium,German Navy,Zeppelin L-8 (airship),41.0,0.0,41.0,17.0,0.0,17.0,0.0
1915-09-03 15:20:00,Germany,German Navy,Zeppelin L-10 (airship),19.0,16.0,3.0,19.0,16.0,3.0,0.0
1916-07-28 00:00:00,Bulgeria,German Army,Schutte-Lanz S-L-10 (airship),20.0,17.0,3.0,20.0,17.0,3.0,0.0
1916-09-24 01:00:00,England,German Navy,Zeppelin L-32 (airship),22.0,19.0,3.0,22.0,18.0,4.0,0.0
1916-10-01 23:45:00,England,German Navy,Zeppelin L-31 (airship),19.0,0.0,19.0,19.0,0.0,19.0,0.0
1916-11-21 00:00:00,Germany,German Army,Super Zeppelin (airship),28.0,24.0,4.0,27.0,23.0,4.0,0.0
1916-11-28 23:45:00,England,German Navy,Zeppelin L-34 (airship),20.0,17.0,3.0,20.0,17.0,3.0,0.0
1917-03-04 00:00:00,Belgium,German Army,Airship,20.0,17.0,3.0,20.0,17.0,3.0,0.0
1917-03-30 00:00:00,Off Northern Germany,German Navy,Schutte-Lanz S-L-9 (airship),23.0,20.0,3.0,23.0,19.0,4.0,0.0
1917-05-14 05:15:00,North Sea,German Navy,Zeppelin L-22 (airship),21.0,18.0,3.0,21.0,18.0,3.0,0.0
1917-06-14 08:45:00,North Sea,German Navy,Zeppelin L-43 (airship),24.0,21.0,3.0,24.0,20.0,4.0,0.0
1917-06-17 00:00:00,England,unknown,Zepplin L-48 (air ship),16.0,14.0,2.0,14.0,12.0,2.0,0.0
1917-08-21 07:00:00,Off western Denmark,German Navy,Zeppelin L-23 (airship),18.0,15.0,3.0,18.0,15.0,3.0,0.0
